,CIDADE,LAT,LONG,AREA,QUARTOS,BANHEIRO,ESTACIONAMENTO,PISO,ANIMAL,MOBILIA,TAXA,ALUGUEL,IPTU,SEGURO,DESPESA_TOTAL
29,2.0,-30.03945,-51.22239,38.0,1.0,1.0,2.0,11.0,1.0,1.0,450.0,1750.0,0.0,26.0,2226.0
30,4.0,-23.52544,-46.64446,30.0,1.0,1.0,0.0,1.0,0.0,1.0,460.0,1600.0,0.0,21.0,2081.0
31,2.0,-30.00678,-51.21016,40.0,1.0,1.0,1.0,6.0,0.0,0.0,390.0,2990.0,0.0,44.0,3424.0
32,4.0,-23.51068,-46.61287,300.0,4.0,6.0,4.0,20.0,0.0,1.0,3700.0,12000.0,1584.0,153.0,17440.0
33,0.0,-19.93779,-43.92393,200.0,4.0,2.0,1.0,7.0,1.0,1.0,850.0,2550.0,9.0,34.0,3443.0
34,0.0,-19.92394,-43.93715,45.0,1.0,1.0,1.0,5.0,0.0,1.0,500.0,1631.0,192.0,12.0,2335.0
35,4.0,-23.51996,-46.60522,360.0,4.0,5.0,0.0,1.0,0.0,1.0,4000.0,6410.0,2000.0,82.0,12490.0
36,4.0,-23.55612,-46.63318,40.0,1.0,1.0,1.0,10.0,0.0,0.0,978.0,2829.0,0.0,33.0,3840.0
37,0.0,-19.90383,-43.93545,100.0,3.0,1.0,0.0,13.0,1.0,1.0,700.0,1220.0,10.0,17.0,1947.0
38,2.0,-30.03935,-51.22286,42.0,1.0,1.0,2.0,2.0,0.0,0.0,190.0,1770.0,17.0,26.0,2003.0
39,1.0,-22.90041,-47.06257,250.0,3.0,3.0,2.0,1.0,0.0,1.0,2200.0,1700.0,256.0,22.0,4178.0
40,1.0,-22.89182,-47.0551,48.0,1.0,1.0,1.0,2.0,0.0,0.0,505.0,1600.0,59.0,21.0,2185.0
41,3.0,-22.90243,-43.16391,90.0,3.0,3.0,1.0,10.0,0.0,1.0,1250.0,3800.0,147.0,49.0,5246.0
42,4.0,-23.59325,-46.63484,45.0,1.0,2.0,1.0,15.0,0.0,0.0,856.0,3900.0,150.0,50.0,4956.0
43,3.0,-22.92877,-43.19077,150.0,2.0,3.0,4.0,6.0,0.0,1.0,1700.0,4000.0,700.0,52.0,6452.0
44,4.0,-23.57982,-46.60726,60.0,2.0,1.0,0.0,2.0,0.0,1.0,200.0,1445.0,0.0,19.0,1664.0
45,4.0,-23.56335,-46.64493,31.0,1.0,1.0,0.0,4.0,0.0,1.0,370.0,2350.0,56.0,30.0,2806.0
46,4.0,-23.59643,-46.64696,210.0,4.0,5.0,4.0,4.0,1.0,1.0,1650.0,9000.0,772.0,115.0,11540.0
47,1.0,-22.90865,-47.0549,93.0,2.0,3.0,2.0,9.0,0.0,1.0,663.0,5500.0,133.0,70.0,6366.0
48,2.0,-30.01619,-51.20231,75.0,3.0,2.0,1.0,9.0,0.0,1.0,340.0,1800.0,109.0,27.0,2276.0
49,4.0,-23.58662,-46.64279,41.0,1.0,1.0,1.0,6.0,0.0,0.0,523.0,4000.0,131.0,51.0,4705.0
50,3.0,-22.93582,-43.16165,65.0,1.0,1.0,1.0,8.0,0.0,0.0,2000.0,5100.0,250.0,66.0,7416.0
51,4.0,-23.5388,-46.60277,70.0,2.0,1.0,1.0,13.0,0.0,1.0,761.0,2150.0,67.0,28.0,3006.0
52,4.0,-23.58421,-46.61129,278.0,4.0,5.0,2.0,16.0,0.0,0.0,4052.0,9000.0,1261.0,115.0,14430.0
53,3.0,-22.9325,-43.16245,35.0,1.0,1.0,0.0,5.0,0.0,1.0,306.0,1521.0,21.0,20.0,1868.0
54,1.0,-22.91574,-47.06902,300.0,4.0,4.0,3.0,2.0,0.0,1.0,2300.0,6000.0,417.0,77.0,8794.0
55,4.0,-23.59478,-46.63578,61.0,2.0,1.0,1.0,4.0,0.0,1.0,459.0,1850.0,0.0,24.0,2333.0
56,3.0,-22.9424,-43.15569,130.0,3.0,2.0,1.0,7.0,0.0,1.0,1660.0,1700.0,475.0,22.0,3857.0
57,3.0,-22.93853,-43.17129,80.0,2.0,1.0,1.0,20.0,0.0,1.0,500.0,900.0,90.0,12.0,1502.0
58,4.0,-23.56859,-46.62319,164.0,4.0,4.0,2.0,6.0,1.0,1.0,2159.0,5000.0,386.0,64.0,7609.0
59,0.0,-19.90191,-43.94932,220.0,4.0,2.0,3.0,3.0,0.0,1.0,450.0,2422.0,125.0,33.0,3030.0
60,4.0,-23.53023,-46.6136,108.0,3.0,2.0,2.0,7.0,0.0,1.0,1290.0,5600.0,435.0,71.0,7396.0
61,0.0,-19.93195,-43.93481,128.0,1.0,1.0,0.0,4.0,0.0,0.0,418.0,2100.0,182.0,28.0,2728.0
62,3.0,-22.90912,-43.15177,60.0,1.0,1.0,0.0,10.0,1.0,1.0,450.0,1800.0,48.0,24.0,2322.0
63,4.0,-23.53923,-46.60483,250.0,4.0,5.0,4.0,6.0,0.0,1.0,2050.0,9800.0,998.0,125.0,12970.0
64,2.0,-30.01343,-51.2155,47.0,1.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,2633.0
65,0.0,-19.93467,-43.93726,170.0,4.0,3.0,4.0,9.0,1.0,1.0,744.0,2700.0,296.0,36.0,3776.0
66,4.0,-23.54332,-46.60959,45.0,1.0,1.0,0.0,1.0,1.0,1.0,300.0,1240.0,0.0,16.0,1556.0
67,4.0,-23.59729,-46.62324,42.0,1.0,1.0,1.0,15.0,0.0,1.0,686.0,3500.0,123.0,45.0,4354.0
68,4.0,-23.58037,-46.64248,164.0,4.0,4.0,3.0,1.0,0.0,1.0,1840.0,6000.0,550.0,77.0,8467.0
69,4.0,-23.5234,-46.60381,70.0,3.0,1.0,1.0,1.0,0.0,1.0,700.0,1020.0,200.0,13.0,1933.0
70,2.0,-30.03269,-51.22811,100.0,4.0,3.0,1.0,8.0,0.0,1.0,600.0,2200.0,159.0,33.0,2992.0
71,4.0,-23.58906,-46.63691,64.0,2.0,2.0,2.0,4.0,0.0,0.0,1300.0,4500.0,440.0,58.0,6298.0
72,0.0,-19.90711,-43.9303,68.0,2.0,1.0,1.0,3.0,0.0,1.0,320.0,1200.0,27.0,16.0,1563.0
73,0.0,-19.94707,-43.94885,75.0,2.0,2.0,2.0,14.0,1.0,1.0,620.0,2500.0,264.0,34.0,3418.0
74,4.0,-23.56597,-46.61034,600.0,4.0,4.0,4.0,9.0,0.0,1.0,7400.0,8500.0,3368.0,108.0,19380.0
75,4.0,-23.59889,-46.60084,63.0,2.0,2.0,0.0,15.0,1.0,1.0,590.0,1550.0,152.0,20.0,2312.0
76,4.0,-23.57652,-46.60802,145.0,3.0,4.0,3.0,1.0,1.0,1.0,1200.0,6000.0,750.0,77.0,8027.0
77,4.0,-23.50578,-46.64999,85.0,2.0,2.0,2.0,3.0,1.0,1.0,1500.0,2800.0,292.0,36.0,4628.0
78,4.0,-23.54941,-46.64035,254.0,4.0,4.0,4.0,7.0,0.0,1.0,3366.0,9000.0,1800.0,115.0,14280.0
79,4.0,-23.50904,-46.61223,64.0,2.0,2.0,2.0,8.0,0.0,1.0,450.0,2800.0,30.0,36.0,3316.0
80,4.0,-23.5938,-46.62924,133.0,3.0,2.0,0.0,6.0,0.0,1.0,813.0,2957.0,38.0,38.0,3846.0
81,1.0,-22.91231,-47.05851,44.0,1.0,1.0,0.0,7.0,0.0,1.0,350.0,550.0,12.0,7.0,919.0
82,2.0,-30.0357,-51.20897,70.0,3.0,2.0,1.0,4.0,0.0,1.0,490.0,2500.0,8.0,37.0,3035.0
83,4.0,-23.53748,-46.63101,22.0,1.0,1.0,0.0,26.0,0.0,1.0,302.0,2050.0,45.0,26.0,2423.0
84,2.0,-30.00536,-51.21473,50.0,1.0,1.0,1.0,1.0,0.0,1.0,350.0,950.0,50.0,14.0,1364.0
85,2.0,-30.00949,-51.22876,67.0,3.0,2.0,2.0,4.0,0.0,1.0,600.0,2200.0,50.0,33.0,2883.0
86,4.0,-23.52557,-46.60429,31.0,1.0,1.0,0.0,6.0,0.0,0.0,430.0,2300.0,0.0,30.0,2760.0
87,3.0,-22.90079,-43.15204,90.0,2.0,1.0,1.0,1.0,0.0,0.0,850.0,3468.0,191.0,45.0,4554.0
88,3.0,-22.94766,-43.15602,109.0,3.0,3.0,1.0,1.0,0.0,1.0,2000.0,3800.0,300.0,49.0,6149.0
89,1.0,-22.90427,-47.06855,284.0,4.0,3.0,3.0,4.0,0.0,1.0,2340.0,6000.0,483.0,77.0,8900.0
90,2.0,-30.01519,-51.2116,70.0,2.0,1.0,1.0,3.0,0.0,0.0,360.0,2400.0,30.0,36.0,2826.0
91,3.0,-22.90205,-43.1554,309.0,4.0,5.0,4.0,7.0,0.0,1.0,2661.0,6500.0,682.0,84.0,9927.0
92,4.0,-23.56202,-46.61994,360.0,3.0,4.0,1.0,10.0,0.0,1.0,2300.0,10000.0,584.0,127.0,13010.0
93,4.0,-23.53416,-46.64578,30.0,1.0,1.0,1.0,10.0,1.0,1.0,886.0,1500.0,0.0,20.0,2406.0
94,1.0,-22.90723,-47.05978,80.0,2.0,2.0,2.0,11.0,0.0,1.0,832.0,2200.0,171.0,28.0,3231.0
95,0.0,-19.90152,-43.93682,133.0,4.0,4.0,3.0,6.0,1.0,1.0,1500.0,7000.0,800.0,94.0,9394.0
96,4.0,-23.50463,-46.61277,38.0,1.0,1.0,1.0,14.0,1.0,0.0,1620.0,2800.0,279.0,36.0,4735.0
97,4.0,-23.53291,-46.61327,73.0,2.0,2.0,1.0,7.0,0.0,1.0,1100.0,3500.0,100.0,45.0,4745.0
98,4.0,-23.59886,-46.60774,155.0,3.0,4.0,2.0,4.0,0.0,1.0,1500.0,2000.0,150.0,26.0,3676.0
99,4.0,-23.52887,-46.61868,63.0,2.0,2.0,1.0,15.0,0.0,1.0,357.0,3200.0,50.0,41.0,3648.0
100,4.0,-23.53913,-46.62038,58.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1400.0,0.0,18.0,1418.0
101,4.0,-23.55295,-46.63116,48.0,1.0,1.0,0.0,9.0,1.0,0.0,377.0,3450.0,0.0,44.0,3871.0
102,4.0,-23.5239,-46.6209,210.0,3.0,4.0,3.0,7.0,0.0,1.0,1700.0,2790.0,834.0,36.0,5360.0
103,0.0,-19.92587,-43.94595,100.0,3.0,2.0,2.0,2.0,0.0,1.0,340.0,1600.0,183.0,22.0,2145.0
104,4.0,-23.51061,-46.6012,94.0,3.0,2.0,2.0,1.0,0.0,1.0,1337.0,3570.0,140.0,46.0,5093.0
105,4.0,-23.55609,-46.64821,94.0,3.0,3.0,2.0,3.0,0.0,0.0,1220.0,5010.0,395.0,64.0,6689.0
106,4.0,-23.55531,-46.63458,76.0,3.0,1.0,1.0,4.0,0.0,1.0,1200.0,2500.0,267.0,32.0,3999.0
107,4.0,-23.53615,-46.60648,192.0,3.0,3.0,2.0,13.0,0.0,1.0,2100.0,7800.0,634.0,99.0,10630.0
108,4.0,-23.56234,-46.60439,217.0,3.0,4.0,3.0,1.0,0.0,1.0,2884.0,6500.0,0.0,83.0,9467.0
109,4.0,-23.50339,-46.60673,68.0,2.0,1.0,1.0,5.0,0.0,1.0,610.0,1400.0,35.0,18.0,2063.0
110,4.0,-23.58411,-46.64261,110.0,3.0,2.0,2.0,2.0,0.0,1.0,1145.0,2400.0,247.0,31.0,3823.0
111,0.0,-19.9248,-43.92331,95.0,2.0,2.0,1.0,3.0,0.0,1.0,660.0,1600.0,164.0,22.0,2446.0
112,4.0,-23.53597,-46.62722,34.0,1.0,1.0,0.0,5.0,1.0,1.0,347.0,1200.0,45.0,16.0,1608.0
113,4.0,-23.55743,-46.62809,192.0,3.0,4.0,3.0,5.0,0.0,1.0,2000.0,8000.0,0.0,102.0,10100.0
114,2.0,-30.0483,-51.22399,62.0,2.0,2.0,1.0,9.0,0.0,1.0,350.0,1800.0,75.0,27.0,2252.0
115,1.0,-22.90825,-47.05404,44.0,1.0,1.0,0.0,3.0,0.0,0.0,350.0,916.0,12.0,12.0,1290.0
116,0.0,-19.94677,-43.92896,100.0,2.0,1.0,1.0,1.0,1.0,1.0,250.0,1700.0,116.0,23.0,2089.0
117,3.0,-22.93563,-43.17857,140.0,3.0,3.0,1.0,24.0,1.0,1.0,900.0,1370.0,100.0,18.0,2388.0
118,4.0,-23.56935,-46.61768,170.0,3.0,3.0,3.0,8.0,0.0,0.0,1570.0,2800.0,648.0,36.0,5054.0
119,4.0,-23.5804,-46.62908,75.0,3.0,2.0,2.0,4.0,0.0,1.0,652.0,1600.0,82.0,21.0,2355.0
120,3.0,-22.90291,-43.18252,52.0,2.0,1.0,0.0,2.0,0.0,1.0,200.0,1200.0,43.0,16.0,1459.0
121,4.0,-23.54737,-46.64439,270.0,4.0,4.0,4.0,8.0,0.0,1.0,2200.0,7000.0,1500.0,89.0,10790.0
122,0.0,-19.91991,-43.9395,50.0,2.0,1.0,1.0,1.0,0.0,1.0,160.0,930.0,60.0,13.0,1163.0
123,4.0,-23.53117,-46.6143,71.0,2.0,2.0,0.0,16.0,0.0,1.0,430.0,1920.0,100.0,25.0,2475.0
124,4.0,-23.57106,-46.63074,110.0,2.0,1.0,0.0,8.0,0.0,1.0,1100.0,1300.0,84.0,17.0,2501.0
125,4.0,-23.5717,-46.60809,220.0,3.0,4.0,3.0,8.0,0.0,1.0,2021.0,6000.0,996.0,77.0,9094.0
126,4.0,-23.5457,-46.62391,130.0,3.0,4.0,3.0,2.0,0.0,1.0,2300.0,4250.0,502.0,54.0,7106.0
127,4.0,-23.55726,-46.62616,65.0,2.0,2.0,2.0,7.0,0.0,0.0,1037.0,4000.0,245.0,51.0,5333.0
128,4.0,-23.58525,-46.60478,96.0,3.0,2.0,2.0,17.0,0.0,1.0,804.0,3200.0,250.0,41.0,4295.0
129,4.0,-23.56426,-46.62068,660.0,4.0,5.0,5.0,12.0,0.0,0.0,4800.0,20000.0,1750.0,254.0,26800.0
130,3.0,-22.91437,-43.15769,107.0,3.0,2.0,0.0,7.0,0.0,0.0,1460.0,3200.0,270.0,42.0,4972.0
131,3.0,-22.92738,-43.1947,105.0,3.0,2.0,0.0,1.0,0.0,1.0,740.0,2200.0,9.0,29.0,2978.0
132,3.0,-22.94254,-43.16153,100.0,3.0,2.0,0.0,7.0,0.0,1.0,900.0,3290.0,109.0,43.0,4342.0
133,1.0,-22.90186,-47.06559,24.0,1.0,1.0,0.0,1.0,1.0,0.0,230.0,1180.0,9.0,15.0,1434.0
134,2.0,-30.00343,-51.21052,44.0,1.0,1.0,1.0,2.0,0.0,0.0,250.0,1500.0,17.0,22.0,1789.0
135,4.0,-23.50178,-46.64225,90.0,1.0,2.0,2.0,9.0,0.0,0.0,998.0,2900.0,220.0,37.0,4155.0
136,4.0,-23.51231,-46.64127,200.0,4.0,4.0,2.0,8.0,0.0,0.0,3000.0,2800.0,830.0,36.0,6666.0
137,2.0,-30.00662,-51.21512,90.0,2.0,1.0,1.0,2.0,1.0,1.0,550.0,1700.0,110.0,25.0,2385.0
138,4.0,-23.55198,-46.60441,240.0,4.0,4.0,3.0,9.0,0.0,1.0,2500.0,2144.0,834.0,28.0,5506.0
139,4.0,-23.51979,-46.64397,154.0,4.0,3.0,3.0,21.0,0.0,1.0,1684.0,7000.0,1020.0,89.0,9793.0
140,4.0,-23.52035,-46.63676,60.0,2.0,2.0,2.0,2.0,0.0,1.0,2340.0,3230.0,284.0,41.0,5895.0
141,1.0,-22.89418,-47.06657,101.0,3.0,2.0,0.0,5.0,0.0,1.0,780.0,2380.0,91.0,31.0,3282.0
142,4.0,-23.52883,-46.61683,110.0,3.0,3.0,3.0,4.0,0.0,1.0,1195.0,2350.0,687.0,30.0,4262.0
143,0.0,-19.94943,-43.93064,90.0,2.0,2.0,2.0,3.0,0.0,1.0,200.0,2000.0,84.0,27.0,2311.0
144,4.0,-23.5522,-46.63605,384.0,4.0,6.0,4.0,3.0,1.0,0.0,3500.0,15000.0,344.0,191.0,19040.0
145,4.0,-23.59084,-46.63987,57.0,2.0,1.0,1.0,7.0,0.0,1.0,570.0,1500.0,67.0,20.0,2157.0
146,4.0,-23.53633,-46.61033,160.0,3.0,3.0,2.0,5.0,0.0,0.0,1650.0,1500.0,419.0,20.0,3589.0
147,4.0,-23.51484,-46.64923,39.0,1.0,1.0,0.0,8.0,0.0,1.0,330.0,1250.0,19.0,16.0,1615.0
148,1.0,-22.91864,-47.05502,78.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,2290.0,143.0,30.0,2463.0
149,1.0,-22.90994,-47.05421,70.0,2.0,1.0,1.0,1.0,0.0,1.0,558.0,1200.0,0.0,16.0,1774.0
150,0.0,-19.90086,-43.92373,45.0,1.0,1.0,1.0,4.0,1.0,0.0,300.0,3200.0,0.0,43.0,3543.0
151,4.0,-23.5971,-46.62645,200.0,3.0,4.0,3.0,1.0,0.0,1.0,3500.0,8500.0,1250.0,108.0,13360.0
152,4.0,-23.55432,-46.63629,42.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,5000.0,0.0,64.0,5064.0
153,4.0,-23.5867,-46.61718,280.0,4.0,4.0,1.0,1.0,0.0,0.0,3000.0,8000.0,292.0,102.0,11390.0
154,4.0,-23.55882,-46.64266,28.0,1.0,1.0,1.0,13.0,1.0,0.0,615.0,2800.0,42.0,36.0,3493.0
155,0.0,-19.92544,-43.92433,85.0,3.0,2.0,1.0,1.0,0.0,1.0,337.0,1500.0,88.0,20.0,1945.0
156,1.0,-22.8924,-47.0645,83.0,1.0,1.0,1.0,4.0,1.0,1.0,500.0,1080.0,59.0,14.0,1653.0
157,1.0,-22.89274,-47.06738,85.0,3.0,2.0,2.0,16.0,0.0,0.0,550.0,3300.0,150.0,42.0,4042.0
158,0.0,-19.91276,-43.92791,90.0,3.0,2.0,2.0,3.0,0.0,1.0,325.0,1600.0,105.0,22.0,2052.0
159,0.0,-19.9395,-43.93748,50.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,900.0,100.0,12.0,1012.0
160,3.0,-22.9378,-43.16797,50.0,1.0,1.0,0.0,8.0,0.0,1.0,600.0,2900.0,134.0,38.0,3672.0
161,2.0,-30.03208,-51.22925,39.0,1.0,1.0,0.0,7.0,0.0,1.0,350.0,850.0,27.0,13.0,1240.0
162,2.0,-30.01906,-51.20413,60.0,2.0,1.0,0.0,1.0,0.0,1.0,222.0,1100.0,46.0,17.0,1385.0
163,3.0,-22.91149,-43.18645,68.0,2.0,1.0,0.0,4.0,1.0,1.0,750.0,1250.0,9.0,17.0,2026.0
164,4.0,-23.50512,-46.60049,90.0,2.0,2.0,1.0,6.0,0.0,0.0,900.0,6500.0,89.0,83.0,7572.0
165,4.0,-23.54561,-46.64149,123.0,2.0,2.0,2.0,6.0,0.0,1.0,1800.0,2990.0,625.0,38.0,5453.0
166,3.0,-22.92445,-43.18077,70.0,2.0,2.0,1.0,7.0,0.0,0.0,585.0,1719.0,77.0,23.0,2404.0
167,4.0,-23.57222,-46.63784,35.0,1.0,1.0,1.0,8.0,0.0,0.0,720.0,3000.0,130.0,39.0,3889.0
168,3.0,-22.94222,-43.16189,170.0,4.0,5.0,0.0,10.0,0.0,1.0,1200.0,7100.0,639.0,92.0,9031.0
169,3.0,-22.92229,-43.18764,45.0,1.0,1.0,0.0,8.0,0.0,1.0,900.0,1570.0,98.0,21.0,2589.0
170,2.0,-30.02634,-51.20928,46.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1040.0,48.0,16.0,1104.0
171,4.0,-23.58774,-46.6485,145.0,3.0,3.0,2.0,1.0,0.0,0.0,1088.0,5800.0,250.0,74.0,7212.0
172,0.0,-19.94686,-43.93862,59.0,2.0,2.0,1.0,2.0,0.0,1.0,190.0,1100.0,59.0,15.0,1364.0
173,0.0,-19.92356,-43.94077,225.0,4.0,3.0,0.0,8.0,0.0,1.0,1850.0,7500.0,466.0,100.0,9916.0
174,4.0,-23.55275,-46.63001,210.0,4.0,4.0,3.0,3.0,0.0,1.0,2270.0,4675.0,1110.0,60.0,8115.0
175,4.0,-23.53788,-46.64062,220.0,3.0,4.0,3.0,2.0,1.0,1.0,2500.0,5150.0,1250.0,66.0,8966.0
176,4.0,-23.59538,-46.6015,109.0,3.0,2.0,2.0,7.0,0.0,1.0,1746.0,2500.0,134.0,32.0,4412.0
177,0.0,-19.90257,-43.92153,95.0,2.0,1.0,1.0,3.0,0.0,1.0,646.0,1000.0,120.0,14.0,1780.0
178,4.0,-23.58539,-46.64009,480.0,4.0,6.0,5.0,9.0,0.0,1.0,6660.0,15000.0,3063.0,191.0,24910.0
179,4.0,-23.55553,-46.63829,53.0,1.0,1.0,1.0,3.0,0.0,1.0,694.0,4390.0,200.0,56.0,5340.0
180,4.0,-23.54629,-46.61029,50.0,1.0,1.0,1.0,4.0,0.0,0.0,500.0,3223.0,100.0,41.0,3864.0
181,2.0,-30.0306,-51.22475,64.0,2.0,2.0,2.0,7.0,1.0,1.0,450.0,1500.0,50.0,22.0,2022.0
182,3.0,-22.9051,-43.1771,140.0,3.0,3.0,2.0,4.0,0.0,0.0,2280.0,12000.0,535.0,155.0,14970.0
183,4.0,-23.50807,-46.64588,121.0,3.0,3.0,1.0,12.0,0.0,1.0,800.0,2040.0,334.0,26.0,3200.0
184,1.0,-22.89639,-47.05668,43.0,1.0,1.0,1.0,4.0,0.0,0.0,498.0,2100.0,84.0,27.0,2709.0
185,4.0,-23.59011,-46.61489,20.0,1.0,1.0,1.0,3.0,1.0,0.0,1700.0,1360.0,0.0,18.0,3078.0
186,1.0,-22.90624,-47.05819,58.0,2.0,1.0,1.0,3.0,0.0,1.0,289.0,950.0,11.0,13.0,1263.0
187,4.0,-23.59296,-46.64565,88.0,2.0,1.0,1.0,2.0,0.0,1.0,980.0,2790.0,0.0,36.0,3806.0
188,4.0,-23.53785,-46.61661,89.0,3.0,2.0,2.0,19.0,0.0,1.0,900.0,6000.0,184.0,77.0,7161.0
189,2.0,-30.01374,-51.20631,47.0,1.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,2633.0
190,3.0,-22.93967,-43.1937,40.0,1.0,1.0,0.0,1.0,0.0,0.0,386.0,1950.0,91.0,26.0,2453.0
191,3.0,-22.94595,-43.15537,60.0,1.0,2.0,1.0,3.0,0.0,1.0,400.0,750.0,80.0,10.0,1240.0
192,4.0,-23.55159,-46.61711,25.0,1.0,1.0,0.0,14.0,0.0,1.0,257.0,1650.0,0.0,21.0,1928.0
193,2.0,-30.02802,-51.20058,50.0,2.0,1.0,0.0,13.0,0.0,1.0,340.0,1130.0,30.0,17.0,1517.0
194,2.0,-30.01551,-51.22305,90.0,3.0,1.0,0.0,1.0,0.0,1.0,145.0,1130.0,55.0,17.0,1347.0
195,4.0,-23.55709,-46.62048,173.0,3.0,3.0,3.0,2.0,0.0,1.0,3000.0,2000.0,825.0,26.0,5851.0
196,1.0,-22.9083,-47.05806,91.0,3.0,2.0,2.0,12.0,0.0,1.0,700.0,2250.0,175.0,29.0,3154.0
197,4.0,-23.50019,-46.61384,90.0,3.0,2.0,2.0,6.0,1.0,1.0,1710.0,1200.0,109.0,16.0,3035.0
198,4.0,-23.52565,-46.62322,530.0,5.0,6.0,4.0,2.0,0.0,0.0,8300.0,15000.0,5000.0,191.0,28490.0
199,0.0,-19.94643,-43.92336,155.0,1.0,4.0,0.0,4.0,1.0,1.0,1117000.0,2790.0,64.0,38.0,1120000.0
200,4.0,-23.59238,-46.62776,296.0,4.0,5.0,3.0,3.0,0.0,1.0,0.0,15000.0,0.0,191.0,15190.0
